campaign,sku,period,units,revenue,margin_value,stockouts,ending_stock
Summer Kickoff,Leather Tote,pre,120,16800,7200,1,58
Summer Kickoff,Leather Tote,promo,190,22990,6500,4,21
Summer Kickoff,Leather Tote,post,105,14650,5900,0,49
Summer Kickoff,Performance Hoodie,pre,210,18690,7700,0,92
Summer Kickoff,Performance Hoodie,promo,305,22610,6900,3,34
Summer Kickoff,Performance Hoodie,post,180,15300,6900,0,81
Ramadan Edit,Skincare Serum,pre,220,10780,4760,0,144
Ramadan Edit,Skincare Serum,promo,340,14960,4950,2,69
Ramadan Edit,Skincare Serum,post,205,10045,4300,0,131
Ramadan Edit,Ceramic Diffuser,pre,160,10240,4320,0,73
Ramadan Edit,Ceramic Diffuser,promo,255,13770,4480,3,28
Ramadan Edit,Ceramic Diffuser,post,150,9600,4080,0,66
